model_id,aucpr,auc,logloss,mean_per_class_error,rmse,mse
XGBoost_grid_1_AutoML_1_20251118_145138_model_3,0.7856019706486504,0.833647538282826,0.4997733468356422,0.2297686684903046,0.4081332614546977,0.1665727591056486
GLM_1_AutoML_1_20251118_145138,0.7844235988572058,0.8363474611421722,0.4892754694201915,0.2226935655391903,0.4009197645723606,0.160736657624757
XGBoost_grid_1_AutoML_1_20251118_145138_model_11,0.7822343804639876,0.8240133555408822,0.6662766538493763,0.2406930512681694,0.4673738845912545,0.2184383479979193
GBM_1_AutoML_1_20251118_145138,0.7820865591970728,0.8364075455704855,0.4958797531061469,0.2389925973400046,0.4061408414958766,0.1649503831309787
GBM_grid_1_AutoML_1_20251118_145138_model_9,0.7767012206578334,0.8233323986866704,0.5357665851615906,0.2485873698655276,0.4261149149921847,0.1815739207787968
XGBoost_grid_1_AutoML_1_20251118_145138_model_4,0.776455934957069,0.8280726078321665,0.5873913058487785,0.2508537803442519,0.4403429068140526,0.1939018755814494
GBM_grid_1_AutoML_1_20251118_145138_model_5,0.7752082261632035,0.8328890531340168,0.4976302565998234,0.2375783520327278,0.4067614883571872,0.1654549084105541
GBM_grid_1_AutoML_1_20251118_145138_model_3,0.7728861149699401,0.8190263479909186,0.5411015603484954,0.2543141265597728,0.4284652092545276,0.1835824355415261
XGBoost_grid_1_AutoML_1_20251118_145138_model_5,0.7724087185686587,0.8281598271635886,0.5782300200215708,0.2498730474175974,0.4404053440505751,0.1939568670683054
XGBoost_grid_1_AutoML_1_20251118_145138_model_12,0.7715015924418319,0.8271842627899073,0.5898168295972398,0.2424858930807292,0.4440940571828601,0.1972195316251333
GBM_3_AutoML_1_20251118_145138,0.7714482087805518,0.8127090841194915,0.6208020691735628,0.2576898377203584,0.4604134558239518,0.211980550303754
XGBoost_grid_1_AutoML_1_20251118_145138_model_14,0.7706647821029678,0.8190205333688236,0.7333686917518125,0.2394002669557614,0.4951124791587217,0.2451363670186956
GBM_5_AutoML_1_20251118_145138,0.7696672027984488,0.8142699871173819,0.5728251113595377,0.251335101839876,0.4432187734532108,0.1964428811413686
GBM_grid_1_AutoML_1_20251118_145138_model_2,0.7693272492948128,0.8179338451062201,0.7605457602299261,0.2296032747951641,0.5098179302277767,0.2599143219817341
XGBoost_grid_1_AutoML_1_20251118_145138_model_10,0.7689963731228097,0.8230203473009169,0.8062307053124654,0.2305620413716826,0.5113894352529487,0.2615191544883297
XGBoost_grid_1_AutoML_1_20251118_145138_model_7,0.7686680433878262,0.8258830795789182,0.5219467973500737,0.2421001898151083,0.4170767998436624,0.1739530569678304
GBM_grid_1_AutoML_1_20251118_145138_model_8,0.7681875756359539,0.8230132405405785,0.6244647163945118,0.2371997555274446,0.4637069152070731,0.2150241032108596
XRT_1_AutoML_1_20251118_145138,0.7664668466172391,0.8185553636012409,0.639928565836742,0.2404876012874869,0.4776695404918009,0.2281681899136481
GBM_2_AutoML_1_20251118_145138,0.7658487998982381,0.8097785145837179,0.6011719644969118,0.2587332393518122,0.4556452252021199,0.2076125712494905
XGBoost_grid_1_AutoML_1_20251118_145138_model_6,0.7656226660045617,0.810611943750638,0.5908321323427465,0.2652423857523673,0.434393975926185,0.188698126320959
GBM_grid_1_AutoML_1_20251118_145138_model_1,0.7645156777137253,0.8132588889420098,0.6782268751134273,0.2401826566620713,0.4844411619976237,0.2346832394376079
XGBoost_2_AutoML_1_20251118_145138,0.7633061847849659,0.8144172908771162,0.8197202625008441,0.2622265350925368,0.5072978322052284,0.257351090560124
XGBoost_grid_1_AutoML_1_20251118_145138_model_8,0.7629728060516111,0.8188396340147636,0.5629835060496748,0.2506444539488395,0.4305218635695488,0.1853490750113972
GBM_grid_1_AutoML_1_20251118_145138_model_10,0.7609006490813072,0.8224078737735995,0.5200711317651059,0.2462143579817322,0.4174644823614293,0.1742765940332961
XGBoost_grid_1_AutoML_1_20251118_145138_model_2,0.7607655420363495,0.8171611464367345,0.6006400742266339,0.2510301572144604,0.4439788187015062,0.1971171914555849
XGBoost_grid_1_AutoML_1_20251118_145138_model_13,0.7593655068631259,0.8106119437506376,0.600211412454214,0.2707488328761322,0.4474381050278771,0.2002008578309376
GBM_4_AutoML_1_20251118_145138,0.7586030696051539,0.799390369176817,0.7186679042139434,0.2440577792536871,0.4965098931175948,0.2465220739636454
GBM_grid_1_AutoML_1_20251118_145138_model_7,0.7549488730531517,0.7954512857421588,0.8206247493271074,0.2568008466089775,0.52799093467376,0.2787744270976707
DeepLearning_1_AutoML_1_20251118_145138,0.7538443952780028,0.810693348459965,0.6724437707312299,0.2535756695537345,0.4781754520101333,0.2286517629050952
XGBoost_grid_1_AutoML_1_20251118_145138_model_1,0.7533439401643668,0.8020379604373112,1.255912123517653,0.2668549742799886,0.589008761627973,0.3469313212745183
XGBoost_1_AutoML_1_20251118_145138,0.7532175597494949,0.8121696164029194,0.6887205222338593,0.2568964648389806,0.4778489207143586,0.2283395910278774
GBM_grid_1_AutoML_1_20251118_145138_model_4,0.7511251105164921,0.7875828099096667,0.6586259974744828,0.2772870523871612,0.4800057212466424,0.2304054924295094
GBM_grid_1_AutoML_1_20251118_145138_model_6,0.7509300585647677,0.7990970537955913,0.5990653457279216,0.2710169515616141,0.4548128446673226,0.2068547236743821
XGBoost_3_AutoML_1_20251118_145138,0.7504976819274336,0.8051042044886297,0.7136870975016539,0.2559267150873941,0.4796487025220774,0.2300628778311123
